el tiempo|le temps|weather
la Borgoña|la Bourgogne|Burgundy
la Bretaña|la Bretagne|Brittany
la Riviera francesa / la Costa Azul|la Côte d'Azur|the Riviera
la Córcega|la Corse|Corsica
la Isla de Francia|l'Ile de France (f)|Ile de France
(la región Parisina)|(la région parisienne)|(Parisian region)
la Lorena|la Lorraine|Lorraine
la Normandía|la Normandie|Normandy
la Provenza|la Provence|Provence
el Valle de Loira|la Vallée de la Loire|the Loire Valley
las actividades|les activités|activities
ir|aller|to go
ir al cine|aller au cinéma|to go to the movies
ir a la dicoteca|aller en boîte|to go clubbing
ir al concierto|aller au concert|to go to a concert
ir a la universidad|aller à l'université|to go to the university
ir al parque|aller au parc|to go to the park
montar en bicicleta|faire de la bicyclette|to go bicycle riding
ir en bote|faire du bateau|to go boating
hacer windsurf|faire de la planche à voile|to go windsurfing
hacer senderismo|faire des randonnées|to go hiking
ir a esquiar|faire du ski|to go skiing
montar en bicicleta|faire du vélo|to go cycling
ir a navegar|faire de la voile|to go sailing
dar un paseo|faire une promenade|to take a walk
pasar las vacaciones|passer les vacances (f pl)|spend a vacation
visitar... (un lugar, no una persona)|visiter... (un lieu, pas une personne)|to visit... (a place, not a person)
una catedral|une cathédrale|a cathedral
un castillo|un château|a castle
una exposición, espectáculo|une exposition|an exhibition, show
un monumento|un monument|a monument
un museo|un musée|a museum
los medios de transporte|les transports|means of transport
¿Cómo viajas?|Comment voyagez-vous?|How do you travel?
(Yo) viajo...|Je voyage...|I travel...
en avión / avión|en avion / un avion|by plane / plane
en barco / barco|en bateau / un bateau|by boat / boat
en tren / tren|en train / un train|by train / train
en bus turístico (de una ciudad a otra) / bus turístico|en car / un car|by tour bus (from city to city) / tour bus
en coche / coche|en voiture / une voiture|by car / car
¿Cómo vas... (a la universidad, a la casa de tus padres, al trabajo, etc.)?|Comment allez-vous... (à l'université, chez vos parents, au travail, etc.)?|How do you go... (to the university, to your parents' house, to work, etc.) ?
(Yo) voy...|Je vais...|I go...
en metro / metro|en métro / le métro|by subway / subway
en autobús / autobús|en bus / un bus|by bus / bus
en taxi / taxi|en taxi / un taxi|by taxi / taxi
en moto / moto|à moto / une moto|by motorcycle / motorcycle
en bicicleta / bicicleta|à vélo / un vélo|by bicycle / bicycle
a pie|à pied|on foot
verbos|verbes|verbs
comprar|acheter|to buy
traer a alguien|amener|to bring somebody (along)
cambiar|changer|to change
dormir|dormir|to sleep
llevar a alguien|emmener|to take somebody (along)
esperar|espérer|to hope
intentar|essayer|to try
comer|manger|to eat
nadar|nager|to swim
compartir|partager|to share
marchar|partir|to leave
salir|sortir|to go out
los números cardinales 70-100|les nombres cardinaux 70-100|Cardinal Numbers 70-100
setenta|soixante-dix|70
setenta y uno|soixante et onze|71
setenta y dos|soixante-douze|72
setenta y tres|soixante-treize|73
setenta y cuatro|soixante-quatorze|74
setenta y cinco|soixante-quinze|75
setenta y seis|soixante-seize|76
setenta y siete|soixante-dix-sept|77
setenta y ocho|soixante-dix-huit|78
setenta y nueve|soixante-dix-neuf|79
ochenta|quatre-vingts|80
ochenta y uno|quatre-vingt-un|81
ochenta y dos|quatre-vingt-deux|82
ochenta y tres|quatre-vingt-trois|83
ochenta y cuatro|quatre-vingt-quatre|84
ochenta y cinco|quatre-vingt-cinq|85
ochenta y seis|quatre-vingt-six|86
ochenta y siete|quatre-vingt-sept|87
ochenta y ocho|quatre-vingt-huit|88
ochenta y nueve|quatre-vingt-neuf|89
noventa|quatre-vingt-dix|90
noventa y uno|quatre-vingt-onze|91
noventa y dos|quatre-vingt-douze|92
noventa y tres|quatre-vingt-treize|93
noventa y cuatro|quatre-vingt-quatorze|94
noventa y cinco|quatre-vingt-quinze|95
noventa y seis|quatre-vingt-seize|96
noventa y siete|quatre-vingt-dix-sept|97
noventa y ocho|quatre-vingt-dix-huit|98
noventa y nueve|quatre-vingt-dix-neuf|99
cien|cent|100
ciento dos|cent deux|102
dos cientos|deux cents|200
mil|mille|1.000
dos mil|deux mille|2.000
un millón|un million|1.000.000
