pozdravi|salutations|greetings
Da li razumijete?|Vous comprenez?|Do you understand?
Da, ja razumijem. Da, razumijem.|Oui, je comprends.|Yes, I understand.
Ne, ja ne razumijem. Ne, ne razumijem.|Non, je ne comprends pas.|No, I don't understand.
Šta ... znači?|Que veut dire ...?|What does ... mean?
Kako se kaže ...?|Comment dit-on ...?|How do you say ...?
Evo ...|Voici ...|Here is ... (here are ...)
Evo ..., Ima ..., Nalazi se ...|Voilà ...|There is ... (there are ...)
Ima ..., Nalazi se ..., Nalaze se ...|Il y a ...|There is, there are ...
Koliko ima ...?|Il y a combien de ...?|There are how many ...?
prosti brojevi 1-69|les nombres cardinaux 1-69|Cardinal Numbers 1-69
jedan|un, une|1
dva|deux|2
tri|trois|3
četiri|quatre|4
pet|cinq|5
šest|six|6
sedam|sept|7
osam|huit|8
devet|neuf|9
deset|dix|10
jedanaest|onze|11
dvanaest|douze|12
trinaest|treize|13
četrnaest|quatorze|14
petnaest|quinze|15
šesnaest|seize|16
sedamnaest|dix-sept|17
osamnaest|dix-huit|18
devetnaest|dix-neuf|19
dvadeset|vingt|20
dvadeset jedan|vingt et un|21
dvadeset dva|vingt-deux|22
dvadeset tri|vingt-trois|23
dvadeset četiri|vingt-quatre|24
dvadeset pet|vingt-cinq|25
dvadeset šest|vingt-six|26
dvadeset sedam|vingt-sept|27
dvadeset osam|vingt-huit|28
dvadeset devet|vingt-neuf|29
trideset|trente|30
trideset jedan|trente et un|31
trideset dva|trente-deux|32
trideset devet|trente-neuf|39
četrdeset|quarante|40
četrdeset jedan|quarante et un|41
četrdeset dva|quarante-deux|42
četrdeset devet|quarante-neuf|49
pedeset|cinquante|50
pedeset jedan|cinquante et un|51
pedeset dva|cinquante-deux|52
pedeset devet|cinquante-neuf|59
šezdeset|soixante|60
šezdeset jedan|soixante et un|61
šezdeset dva|soixante-deux|62
šezdeset devet|soixante-neuf|69
datum|la date|the date
kalendar|le calendrier|calendar
dan|le jour|day
Koji su dani u nedjelji?|Quels sont les jours de la semaine?|What are the days of the week?
ponedjeljak|lundi|Monday
utorak|mardi|Tuesday
srijeda|mercredi|Wednesday
četvrtak|jeudi|Thursday
petak|vendredi|Friday
subota|samedi|Saturday
nedjelja|dimanche|Sunday
Koji je dan danas?|C'est quel jour?|What day is it?
Danas je ponedjeljak.|C'est lundi.|It's Monday.
danas|aujourd'hui|today
sutra|demain|tomorrow
nedjelja|la semaine|week
slijedeće nedjelje|la semaine prochaine|next week
prošle nedjelje|la semaine dernière|last week
Koji je datum?|Quelle est la date?|What's the date?
Prvi septembar.|C'est le premier septembre.|It's September 1st.
Drugi oktobar.|C'est le deux octobre.|It's October 2nd.
Trideseti avgust.|C'est le 30 août.|It's August 30th.
mjesec|le mois|month
Koji su mjeseci u godini?|Quels sont les mois de l'année?|What are the months of the year?
januar|janvier|January
februar|février|February
mart|mars|March
april|avril|April
maj|mai|May
juni|juin|June
juli|juillet|July
avgust|août|August
septembar|septembre|September
oktobar|octobre|October
novembar|novembre|November
decembar|décembre|December
